class,ece
134,0.004616789110958131
154,0.004594091539151242
171,0.0033602056625711197
135,0.003359326769448191
015,0.0033589993168261093
139,0.0030667599739522358
068,0.003044963641265523
151,0.0029713689289084175
073,0.002951739823401414
144,0.0028908481223983967
200,0.002778759540081863
143,0.0026381058809434887
167,0.00263534511653161
028,0.002617055249103879
090,0.0025987728258163247
013,0.0025225733784129843
058,0.002519749359424983
019,0.0024908833440628964
096,0.0023824856792005783
179,0.0023572006708892593
011,0.0023377560990013035
098,0.0023339941619396213
153,0.0023226892608451135
158,0.0022871829382616927
145,0.0022232709908943074
067,0.002195740867775081
017,0.0021765432053364436
201,0.002152144911533761
199,0.0021052092225457204
152,0.0020491923282347575
075,0.002031116310729918
093,0.0020223393720304617
095,0.0019932817085986563
197,0.0019797582050566256
149,0.001930280637070862
159,0.0019177794598242036
161,0.0018672299264640307
022,0.0018390394527236552
016,0.0018307338686741669
082,0.0018238433887818625
162,0.001802772069740528
205,0.0018027083045548064
081,0.0017939789188392051
189,0.0017848492583684027
177,0.001724018196059126
053,0.0017159769718258825
117,0.0016988357366588417
062,0.0016950235251682179
084,0.0016800056304873859
061,0.001658379546683228
185,0.0016391937100515251
077,0.0015972753315917658
132,0.0015347858955582932
180,0.0015338004370743057
072,0.0015333254895706777
097,0.0015273901109051555
045,0.001512697937752328
001,0.0015073306506163038
080,0.0015000104242748114
066,0.0014767554893097851
165,0.0014692571959327467
020,0.0014646321795931479
204,0.0014552127340635211
114,0.0014405753137888223
116,0.0014355419065604632
125,0.001419675625278217
206,0.0014147968345433848
182,0.0014147509537085542
188,0.0013990631225578895
136,0.0013924890595796195
112,0.001381716699406732
025,0.001379702076015244
070,0.0013544378887393382
187,0.0013451812800935618
195,0.001344951136948863
032,0.0013396393229279124
140,0.0013110645730713153
064,0.001303232263415301
078,0.0012810702983268435
203,0.0012782613171100229
099,0.0012652129721954656
137,0.0012543228734191807
138,0.0012391556375392187
031,0.0012323453884992923
030,0.0012105356025547912
060,0.0012089143781733877
026,0.001197797337199183
038,0.0011947126563535797
142,0.001176312943443377
089,0.001126660428649942
052,0.0011105756994099387
012,0.0010998760200064733
037,0.0010979740822879048
168,0.00106368111041738
126,0.0010438822183942054
102,0.0010331721368006656
094,0.0010319498702945752
002,0.0010216908842671049
164,0.001009692932287718
150,0.0010086002355440941
104,0.0010068066487235374
054,0.0010022802774008114
056,0.0009936084450109135
155,0.000973094778815784
023,0.0009572549016467252
100,0.0009513241543906974
021,0.0009380953942719714
008,0.0009280930442867527
087,0.0009161019331223796
207,0.0009154095468929101
043,0.0009099493551947217
059,0.0009058557165408782
107,0.0009029287570868946
057,0.0008984608651926776
110,0.0008969741872165326
007,0.0008659055879490838
193,0.0008237107230190369
004,0.0008232330438102251
123,0.0008199024853802311
000,0.0008087646023948682
202,0.0008079299673215563
003,0.0008028044144818872
006,0.0008018255315437556
121,0.0007805460897170444
027,0.0007786664552057421
157,0.0007765766361794614
130,0.0007718142856825197
166,0.0007546175709638074
183,0.0007500373107493066
147,0.0007353649406481044
146,0.0007299431823065844
156,0.0007149618910439918
172,0.0007076405781381293
108,0.0007056835088419613
051,0.0007047046749368987
069,0.0007026014444683067
129,0.000699967291789496
208,0.0006940408249929172
131,0.0006843951652472861
076,0.0006827440778636132
170,0.0006677741281409165
071,0.0006628068200867224
106,0.000658917176083863
044,0.0006428962701110423
086,0.0006420608136863233
105,0.0006330365780642312
118,0.0006201475962166209
085,0.0006107136080168844
163,0.0006075892351743488
127,0.0005960327310934592
036,0.0005827047204496999
009,0.0005799816397153302
190,0.0005786823374364585
024,0.0005781968734695226
216,0.000561580545383991
041,0.0005398490162347259
033,0.0005340241017252078
005,0.0005304917806587891
063,0.0005101431106863066
103,0.0005078161660912549
115,0.0005057406449109058
228,0.0005056700178577331
074,0.0004914768732718797
079,0.0004911443268527268
175,0.0004827972643136084
042,0.0004806510150655071
219,0.0004784849305499609
222,0.00046986222877115364
083,0.00046947413736465426
198,0.00046532099166142265
141,0.0004484059718405342
092,0.00043601097748181844
050,0.00043304677049748317
218,0.0004265291151445874
215,0.00041329944507673773
040,0.00040914820381789054
176,0.00040413464863470617
128,0.00040123453930684597
055,0.00040050456610907996
124,0.0003752562354420247
034,0.00036159559472627174
120,0.00035676736140112443
192,0.00035283942686166464
178,0.0003501007811873981
148,0.0003347170442565179
231,0.0003321190212424455
237,0.000327842602926809
014,0.0003234699177177514
035,0.0003180654907795309
223,0.0003099723573136701
010,0.00030818253590618564
209,0.00030775974466884005
194,0.00030695861929677513
230,0.0003049976007242108
018,0.00030409068809591876
181,0.00030112372199813845
191,0.000295124937222508
229,0.0002924076658917777
210,0.000278720507316374
211,0.00027808434267855334
047,0.0002749912391635014
109,0.0002738796277531929
220,0.0002724141502568817
088,0.0002679005732064685
065,0.0002644298375083819
227,0.00025690388591959024
214,0.0002503605390272985
113,0.00024999226252768735
224,0.00024972657282686296
133,0.00024125203053619904
101,0.00023530328694986848
046,0.00023303984526420505
234,0.00021858361022930947
184,0.0002065509637181431
049,0.0002037548455506816
119,0.0001959854237493936
111,0.00019575893788530493
239,0.00019337859518019795
048,0.00018272623676435196
029,0.00017439321380589392
221,0.00017163324680060618
213,0.00016915777405703623
169,0.00015086662106329925
173,0.00014956570355171477
240,0.00013544406514682668
174,0.0001202190257248501
160,0.00011245189504654783
232,0.0001117658463648949
122,9.516545213251138e-05
196,8.004184387429371e-05
091,7.347410987240769e-05
039,7.094137864930445e-05
236,6.523346933330824e-05
226,6.234482507498718e-05
235,5.737679657036046e-05
225,3.940097163806918e-05
217,3.356933175943516e-05
186,2.861487695400569e-05
233,2.7852080203191995e-05
212,2.1188471395206728e-05
238,1.596447680836384e-05
